         2616 function calls (2329 primitive calls) in 1.966 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    1.909    1.909 d:\GitProjects\Pytorch-UNet-master\predict.py:17(predict_img)
     95/1    0.037    0.000    1.845    1.845 D:\Python\lib\site-packages\torch\nn\modules\module.py:1494(_call_impl)
        1    0.004    0.004    1.834    1.834 d:\GitProjects\Pytorch-UNet-master\unet\unet_model.py:25(forward)
     13/9    0.052    0.004    1.550    0.172 D:\Python\lib\site-packages\torch\nn\modules\container.py:215(forward)
        9    0.000    0.000    1.479    0.164 d:\GitProjects\Pytorch-UNet-master\unet\unet_parts.py:24(forward)
       19    0.000    0.000    1.346    0.071 D:\Python\lib\site-packages\torch\nn\modules\conv.py:462(forward)
       19    0.000    0.000    1.346    0.071 D:\Python\lib\site-packages\torch\nn\modules\conv.py:454(_conv_forward)
       19    1.346    0.071    1.346    0.071 {built-in method torch.conv2d}
        4    0.008    0.002    1.132    0.283 d:\GitProjects\Pytorch-UNet-master\unet\unet_parts.py:56(forward)
        4    0.000    0.000    0.524    0.131 d:\GitProjects\Pytorch-UNet-master\unet\unet_parts.py:38(forward)
        4    0.000    0.000    0.187    0.047 D:\Python\lib\site-packages\torch\nn\modules\conv.py:944(forward)
        4    0.187    0.047    0.187    0.047 {built-in method torch.conv_transpose2d}
        4    0.000    0.000    0.068    0.017 D:\Python\lib\site-packages\torch\nn\modules\pooling.py:165(forward)
        4    0.000    0.000    0.068    0.017 D:\Python\lib\site-packages\torch\_jit_internal.py:474(fn)
        4    0.000    0.000    0.068    0.017 D:\Python\lib\site-packages\torch\nn\functional.py:760(_max_pool2d)
        4    0.068    0.017    0.068    0.017 {built-in method torch.max_pool2d}
       18    0.000    0.000    0.061    0.003 D:\Python\lib\site-packages\torch\nn\modules\batchnorm.py:137(forward)
       18    0.000    0.000    0.061    0.003 D:\Python\lib\site-packages\torch\nn\functional.py:2419(batch_norm)
       18    0.061    0.003    0.061    0.003 {built-in method torch.batch_norm}
        1    0.054    0.054    0.057    0.057 d:\GitProjects\Pytorch-UNet-master\predict.py:65(mask_to_image)
        1    0.002    0.002    0.042    0.042 d:\GitProjects\Pytorch-UNet-master\utils\data_loading.py:65(preprocess)
        1    0.000    0.000    0.040    0.040 D:\Python\lib\site-packages\PIL\Image.py:1975(resize)
       18    0.000    0.000    0.037    0.002 D:\Python\lib\site-packages\torch\nn\modules\activation.py:102(forward)
       18    0.000    0.000    0.037    0.002 D:\Python\lib\site-packages\torch\nn\functional.py:1446(relu)
       18    0.037    0.002    0.037    0.002 {built-in method torch.relu_}
        4    0.031    0.008    0.031    0.008 {built-in method torch.cat}
        1    0.021    0.021    0.021    0.021 {method 'resize' of 'ImagingCore' objects}
        5    0.019    0.004    0.019    0.004 {method 'decode' of 'ImagingDecoder' objects}
        2    0.000    0.000    0.018    0.009 D:\Python\lib\site-packages\PIL\ImageFile.py:149(load)
        1    0.000    0.000    0.016    0.016 d:\GitProjects\Pytorch-UNet-master\unet\unet_parts.py:76(forward)
        4    0.013    0.003    0.013    0.003 {built-in method torch.nn.functional.pad}
        1    0.000    0.000    0.008    0.008 D:\Python\lib\site-packages\torch\nn\functional.py:3772(interpolate)
        1    0.008    0.008    0.008    0.008 {built-in method torch._C._nn.upsample_bilinear2d}
        1    0.007    0.007    0.007    0.007 {built-in method torch.sigmoid}
        1    0.000    0.000    0.003    0.003 D:\Python\lib\site-packages\PIL\Image.py:2904(fromarray)
        1    0.000    0.000    0.003    0.003 D:\Python\lib\site-packages\PIL\Image.py:2847(frombuffer)
        1    0.000    0.000    0.003    0.003 D:\Python\lib\site-packages\PIL\Image.py:2809(frombytes)
        1    0.002    0.002    0.002    0.002 {method 'long' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\PIL\Image.py:776(frombytes)
        1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\PIL\Image.py:2770(new)
        1    0.001    0.001    0.001    0.001 {built-in method PIL._imaging.fill}
        1    0.001    0.001    0.001    0.001 {method 'to' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\torch\nn\modules\module.py:2291(eval)
     95/1    0.000    0.000    0.001    0.001 D:\Python\lib\site-packages\torch\nn\modules\module.py:2269(train)
